sta_code_h3;top_altitude_mean;top_slo_mean;top_dist_outlet_mean;top_itopo_mean;top_slo_ori_n;top_slo_ori_ne;top_slo_ori_e;top_slo_ori_se;top_slo_ori_s;top_slo_ori_sw;top_slo_ori_w;top_slo_ori_nw;top_drainage_density;top_mor_form_factor_horton;top_mor_form_factor_square;top_mor_shape_factor;top_mor_compact_coef;top_mor_circ_ratio;top_mor_elong_ratio_circ;top_mor_elong_ratio_catchment;top_mor_relief_ratio;top_slo_flat;top_slo_gentle;top_slo_moderate;top_slo_strong;top_slo_steep;top_slo_very_steep
H318041010;130;2.43;44.25;15.4;10.61;11.577;11.307;13.361;16.861;15.508;11.535;9.24;0.22229;0.1618;0.2343;6.1803;2.3311;0.184;0.4539;0.4022;0.0024;50.414;38.564;8.541;2.43;0.051;0
H323041010;148;2.28;4.9;11.6;10.615;13.211;13.868;11.403;14.689;18.929;9.694;7.591;0.43788;0.4163;0.3518;2.4023;1.9023;0.2763;0.728;0.6452;0.0138;48.603;43.51;6.868;1.019;0;0
H325041010;159;3.05;15.44;13.9;10.393;11.313;12.426;13.391;15.523;14.924;12.312;9.719;0.22418;0.3792;0.3571;2.6373;1.8882;0.2805;0.6948;0.6158;0.0062;45.341;36.456;11.238;6.689;0.276;0
H332201001;115;1.02;19.53;14.9;16.722;13.138;13.313;15.325;13.088;7.396;7.684;13.333;0.40445;0.2752;0.3236;3.634;1.9835;0.2542;0.5919;0.5246;0.0027;84.129;15.865;0.006;0;0;0
H403021010;224;1.41;29.4;14.5;14.793;16.437;14.85;11.921;13.876;10.738;7.282;10.103;0.29669;0.121;0.199;8.2629;2.5298;0.1563;0.3925;0.3479;0.0028;71.937;26.353;1.644;0.067;0;0
H413041010;160;1.67;19.53;14.1;14.017;12.81;10.483;11.947;15.002;13.834;10.674;11.232;0.33586;0.1452;0.2575;6.8869;2.2237;0.2022;0.43;0.3811;0.0024;65.048;30.994;3.256;0.702;0;0
H416021010;166;1.19;51.39;16.6;13.682;14.604;13.272;13.049;13.998;12.001;9.188;10.206;0.19897;0.1395;0.1614;7.1706;2.8088;0.1267;0.4214;0.3734;0.0018;80.324;17.524;1.88;0.272;0;0
H425042010;192;1.28;38.99;15.6;17.028;17.207;16.49;13.98;9.23;6.171;7.278;12.616;0.24334;0.1491;0.2269;6.7085;2.3688;0.1782;0.4357;0.3861;0.0032;78.19;19.552;1.586;0.669;0.002;0
H432021010;162;1.37;99.05;17.3;14.917;15.713;13.993;12.647;11.919;10.36;9.204;11.246;0.19865;0.1209;0.1856;8.2685;2.6191;0.1458;0.3924;0.3478;0.0016;76.934;19.452;2.624;0.962;0.029;0
H437042010;173;1.33;48.37;15.9;14.606;15.594;15.572;14.413;10.802;8.743;8.911;11.358;0.18229;0.0818;0.1423;12.2314;2.9911;0.1118;0.3226;0.2859;0.0025;77.124;19.523;2.258;1.077;0.018;0
H438021010;162;1.42;101.84;17.6;14.778;15.635;14.307;13.012;11.738;10.095;9.211;11.224;0.19282;0.1351;0.1928;7.4017;2.5697;0.1514;0.4148;0.3676;0.0015;76.379;19.455;2.805;1.293;0.069;0
H503331001;402;3.03;11.24;12.4;11.713;12.408;16.378;10.147;6.11;8.945;18.187;16.113;0.26055;0.1605;0.2894;6.2315;2.0975;0.2273;0.452;0.4006;0.0074;34.554;48.561;15.033;1.853;0;0
H504063010;148;2.9;17.91;13.4;13.629;10.249;10.491;12.771;14.022;11.818;12.368;14.652;0.16662;0.1958;0.3025;5.107;2.0515;0.2376;0.4993;0.4425;0.0054;55.684;27.141;8.907;7.606;0.661;0
H504201001;394;3.37;20.13;13;14.402;14.918;10.66;6.621;10.18;13.787;14.758;14.675;0.38462;0.1515;0.3291;6.5985;1.9668;0.2585;0.4393;0.3893;0.0063;34.141;46.778;11.726;7.148;0.207;0
H506201001;362;3.68;32.14;14.2;15.358;12.046;8.894;7.802;11.213;13.198;14.179;17.31;0.24725;0.1591;0.3066;6.286;2.0379;0.2408;0.4501;0.3989;0.0047;30.894;47.633;11.849;9.054;0.57;0
H508305001;288;3.2;28.76;13.9;14.636;11.669;9.889;9.142;10.077;11.106;15.769;17.713;0.16067;0.1367;0.255;7.3131;2.2344;0.2003;0.4173;0.3698;0.0044;27.635;57.506;10.224;4.42;0.214;0
H510203001;292;2.95;41.24;14;11.729;10.822;10.035;10.104;11.609;13.302;16.511;15.887;0.24467;0.0893;0.22;11.2007;2.4059;0.1728;0.3372;0.2988;0.0039;29.343;58.918;8.599;3.041;0.1;0
H512234001;353;3.45;39.39;14.3;13.921;11.373;11.012;11.342;11.606;11.251;13.834;15.66;0.22718;0.1215;0.2567;8.2294;2.227;0.2016;0.3933;0.3486;0.0033;28.477;52.442;12.291;6.483;0.306;0
H514261001;252;2.3;12.89;12.7;11.907;6.481;5.312;6.182;15.54;16.885;18.354;19.339;0.42092;0.2478;0.4177;4.035;1.746;0.328;0.5617;0.4978;0.0078;38.343;56.714;4.793;0.15;0;0
H514262001;215;2.18;23.69;13.6;11.862;7.47;7.079;9.47;16.867;16.404;15.54;15.308;0.56065;0.1291;0.2527;7.7436;2.2445;0.1985;0.4055;0.3594;0.0051;45.347;49.288;5.124;0.241;0;0
H517201001;264;2.86;70.09;15.7;13.412;10.038;9.126;10.83;13.093;13.046;14.595;15.861;0.36511;0.1007;0.233;9.9342;2.3378;0.183;0.358;0.3173;0.0025;38.776;47.547;9.18;4.307;0.19;0
H517311001;154;1.68;18.99;13.5;15.763;10.144;6.494;6.773;12.603;14.375;16.404;17.445;0.47641;0.1156;0.2654;8.647;2.1902;0.2085;0.3837;0.3401;0.0041;59.235;38.238;2.451;0.075;0;0
H522431001;208;3.13;8.5;12.8;17.089;14.183;12.959;12.94;12.781;8.25;9.063;12.735;0.18039;0.4234;0.3618;2.362;1.876;0.2841;0.7342;0.6507;0.0115;47.65;30.365;13.809;8.073;0.103;0
H552201001;157;2.73;21.53;13.8;14.362;12.663;11.569;12.413;12.451;10.083;12.128;14.333;0.39067;0.2142;0.3255;4.6684;1.9779;0.2556;0.5222;0.4628;0.0041;33.407;56.496;9.076;1.021;0;0
H602021010;272;2.37;13.63;13;16.049;12.767;13.366;15.001;14.892;8.968;7.728;11.228;0.39516;0.2262;0.4133;4.4207;1.7552;0.3246;0.5367;0.4756;0.0052;40.208;53.745;5.897;0.15;0;0
H602321001;173;1.61;13.67;13.3;16.108;13.023;12.114;14.03;14.363;10.172;8.913;11.278;0.53071;0.1559;0.3001;6.4163;2.0599;0.2357;0.4455;0.3948;0.0032;65.177;32.386;2.239;0.198;0;0
H605301001;226;6.2;9.05;11.5;11.515;13.739;7.475;7.77;16.99;13.781;12.993;15.738;0.69125;0.2053;0.3813;4.8699;1.8274;0.2995;0.5113;0.4531;0.0087;14.358;32.531;24.043;28.575;0.493;0
H610041010;281;2.61;8.46;12.2;15.32;12.017;17.084;16.662;5.911;4.735;9.62;18.652;0.43992;0.3048;0.4804;3.2805;1.6281;0.3773;0.623;0.5521;0.0089;40.772;48.176;9.846;1.206;0;0
H610201001;301;2.85;19.56;13.5;12.302;12.288;11.191;10.441;11.994;11.64;14.354;15.79;0.37729;0.1433;0.2368;6.978;2.3189;0.186;0.4272;0.3786;0.0041;33.392;54.186;9.146;3.276;0;0
H611061010;251;1.8;12.58;12.8;20.477;15.267;17.288;13.952;2.155;1.802;7.999;21.062;0.25277;0.151;0.2945;6.6207;2.0792;0.2313;0.4385;0.3886;0.0071;64.95;28.61;6.112;0.329;0;0
H612201001;273;3.01;41.56;14.3;12.394;11.81;9.895;9.41;12.518;14.042;15.251;14.68;0.40959;0.0846;0.1712;11.8232;2.7273;0.1344;0.3282;0.2908;0.0029;32.933;52.385;10.326;4.341;0.014;0
H616201001;251;3.11;48.58;14.7;12.306;10.91;9.158;9.849;13.144;14.482;15.287;14.864;0.43282;0.081;0.1374;12.3527;3.0441;0.1079;0.3211;0.2845;0.0026;31.577;52.457;11.832;4.113;0.021;0
H620101001;208;2.86;56.05;15.7;13.781;10.505;8.928;11.413;14.23;13.042;13.177;14.924;0.41092;0.1492;0.2013;6.7015;2.5152;0.1581;0.4359;0.3863;0.0025;39.412;46.493;9.689;4.358;0.048;0
H622101001;195;2.87;88.66;16;13.322;10.445;9.286;11.626;14.301;13.62;13.142;14.257;0.3949;0.0985;0.1686;10.1479;2.7477;0.1325;0.3542;0.3139;0.002;39.375;46.071;10.389;4.125;0.04;0
H623021010;188;1.55;44.18;16.3;16.295;15.572;14.944;13.59;9.455;7.58;9.229;13.335;0.2115;0.1661;0.2145;6.0189;2.4366;0.1684;0.4599;0.4076;0.0029;74.415;19.923;3.755;1.833;0.074;0
H623302001;141;3.14;17.36;13.7;9.114;9.989;12.261;12.669;16.985;17.278;12.338;9.367;0.44957;0.3191;0.3913;3.1341;1.8037;0.3074;0.6374;0.5649;0.0069;33.289;49.43;12.885;4.378;0.019;0
H631302001;128;1.57;37.54;15.2;16.859;8.97;8.232;12.56;15.456;9.506;10.232;18.185;0.15311;0.1679;0.2626;5.9568;2.2018;0.2063;0.4623;0.4097;0.0031;64.253;34.521;1.144;0.083;0;0
H640203001;137;1.45;29.72;15;16.661;9.739;8.217;10.941;16.964;11.749;9.497;16.232;0.19836;0.1563;0.2265;6.3977;2.3712;0.1779;0.4461;0.3954;0.0035;72.915;24.314;2.003;0.762;0.007;0
H642301001;174;3.99;18.78;13.2;15.462;15.008;11.601;9.819;9.83;12.365;12.285;13.63;0.35165;0.1992;0.2489;5.0204;2.2617;0.1955;0.5036;0.4463;0.0061;20.306;51.159;21.891;6.643;0;0
H643201001;138;2.5;57.68;15.5;16.005;11.804;9.836;11.384;13.926;11.557;10.523;14.965;0.24354;0.0981;0.1567;10.1969;2.8505;0.1231;0.3534;0.3132;0.0021;51.227;35.579;9.696;3.494;0.004;0
H651301001;126;3.38;13.41;12.7;15.832;12.992;10.663;14.559;12.984;8.846;11.426;12.699;0.17828;0.2023;0.3469;4.9422;1.9157;0.2725;0.5076;0.4498;0.0068;42;34.285;13.872;9.843;0;0
H703301001;215;2.88;26.66;13.4;13.957;13.288;10.794;10.999;12.124;12.669;12.719;13.45;0.37201;0.1287;0.2883;7.7722;2.1016;0.2264;0.4047;0.3587;0.0038;25.145;64.85;9.355;0.65;0;0
H705311001;208;1.75;5.62;11.4;22.161;7.154;4.052;6.303;20.51;10.455;11.456;17.909;0.60764;0.1347;0.2581;7.4213;2.2209;0.2027;0.4142;0.3671;0.0067;56.128;42.271;1.601;0;0;0
H706101001;204;2.35;65.48;15.2;13.974;9.4;8.264;11.836;15.889;13.038;12.796;14.802;0.45024;0.0936;0.1813;10.6853;2.6498;0.1424;0.3452;0.3059;0.0026;44.584;47.802;6.684;0.929;0;0
H716201001;129;2.19;41.34;15.7;13.205;8.406;8.654;14.268;17.008;12.371;11.617;14.471;0.25841;0.2137;0.3176;4.679;2.0022;0.2495;0.5217;0.4623;0.0028;48.111;46.219;4.974;0.693;0.002;0
H740101001;137;2.41;93.32;16.6;13.407;9.616;9.42;13.543;15.798;12.15;11.821;14.245;0.30664;0.1181;0.2598;8.4681;2.2137;0.2041;0.3878;0.3436;0.0017;46.782;44.495;6.196;2.497;0.029;0
H741321001;94;3.11;9.64;12.2;18.83;14.535;12.774;14.102;12.165;8.643;7.505;11.447;0.18546;0.2408;0.356;4.1533;1.8912;0.2796;0.5537;0.4907;0.009;37.456;45.028;11.271;6.137;0.108;0
H742371001;93;1.67;23.23;14.1;12.117;16.394;14.251;16.551;14.472;10.32;7.484;8.411;0.11851;0.1921;0.288;5.2053;2.1027;0.2262;0.4946;0.4383;0.0034;64.811;32.129;2.483;0.571;0.007;0
H773301001;131;3.16;14.63;13;15.49;15.847;15.256;12.652;11.616;10.867;8.749;9.521;0.36588;0.2676;0.3663;3.737;1.8645;0.2877;0.5837;0.5173;0.0073;31.303;53.306;10.06;5.249;0.082;0
H774201001;157;2.52;24.49;14.8;10.966;14.307;14.507;16.47;15.138;11.943;9.006;7.664;0.22225;0.2747;0.3173;3.6404;2.0031;0.2492;0.5914;0.5241;0.0037;49.108;38.845;8.928;3.088;0.031;0
H774202001;136;2.51;46.22;15.3;11.278;13.673;13.953;16.033;15.994;11.808;8.89;8.37;0.23308;0.1593;0.2741;6.2774;2.1554;0.2153;0.4504;0.3991;0.0026;51.776;35.483;8.904;3.781;0.055;0
I103101001;203;3.82;28.31;13.3;13.383;13.955;15.385;8.914;7.309;10.275;16.04;14.738;0.52075;0.1003;0.1814;9.9736;2.6495;0.1425;0.3573;0.3166;0.0053;30.578;40.574;21.085;7.715;0.048;0
I110301001;180;2.4;20.91;14.1;16.783;15.19;12.924;8.132;7.809;10.164;11.918;17.08;0.30358;0.168;0.295;5.9526;2.0775;0.2317;0.4625;0.4099;0.0058;61.813;22.994;10.444;4.655;0.094;0
I120301001;141;2.37;16.3;13.5;17.217;14.661;10.318;7.374;10.884;13.666;11.359;14.522;0.39258;0.1528;0.2444;6.5447;2.2826;0.1919;0.4411;0.3909;0.0052;61.934;22.289;11.989;3.678;0.11;0
I200101001;164;3.04;9.27;12.4;18.763;16.545;9.779;5.128;8.199;11.94;14.26;15.385;0.53434;0.2475;0.3935;4.0405;1.7989;0.309;0.5614;0.4975;0.0115;38.754;43.416;13.259;4.571;0;0
I202101001;142;2.44;17.52;13.7;17.387;18.499;11.197;7.771;9.743;10.16;11.649;13.594;0.47475;0.2129;0.3128;4.6963;2.0176;0.2456;0.5207;0.4614;0.007;47.295;43;7.09;2.594;0.021;0
I346301001;225;2.81;15.08;12.7;13.897;13.424;13.643;13.555;9.982;8.546;12.285;14.667;0.69892;0.1983;0.2529;5.0438;2.2438;0.1986;0.5024;0.4453;0.0094;34.527;55.902;7.058;2.04;0.473;0
I402201001;141;2.85;12.9;12.7;19.193;11.641;12.611;17.73;7.992;4.007;9.007;17.82;0.63797;0.2115;0.4068;4.7275;1.7691;0.3195;0.519;0.4599;0.012;25.386;65.174;8.358;1.082;0;0
I403201001;108;2.26;28.91;13.7;17.647;13.54;14.977;15.211;8.859;4.802;8.363;16.601;0.53641;0.0989;0.2255;10.1152;2.376;0.1771;0.3548;0.3144;0.0069;44.352;49.815;5.243;0.59;0;0
I501361001;240;3.62;5.79;11.4;16.372;21.729;13.332;7.027;4.411;8.722;15.001;13.406;0.23577;0.3263;0.4178;3.0647;1.7456;0.3282;0.6446;0.5712;0.0195;22.701;55.694;16.272;5.133;0.199;0
I505301001;201;4.02;10.78;12.3;17.402;6.543;5.611;10.445;21.347;16.78;10.393;11.48;0.58497;0.3113;0.3422;3.2119;1.929;0.2688;0.6296;0.558;0.0146;16.858;57.583;18.222;7.182;0.155;0
I510101001;194;3.42;24.55;13.9;16.406;10.934;9.722;11.089;14.167;10.871;11.588;15.223;0.46651;0.296;0.3236;3.3779;1.9836;0.2542;0.614;0.5441;0.0076;24.777;57.031;13.425;4.58;0.186;0
I522101001;159;3.42;44.47;14.5;16.195;10.68;9.276;11.953;14.403;10.575;11.182;15.736;0.4677;0.1495;0.2897;6.687;2.0964;0.2275;0.4364;0.3867;0.0046;23.478;58.869;13.097;4.374;0.182;0
I524301001;116;2.5;9.67;12;17.388;14.759;13.763;7.852;6.804;6.564;13.041;19.828;0.4037;0.1877;0.3637;5.3284;1.871;0.2856;0.4888;0.4332;0.0109;33.608;59.966;5.997;0.43;0;0
I532151001;89;1.8;20.52;13.2;18.252;13.775;14.59;12.916;7.097;7.177;9.24;16.953;0.51953;0.0985;0.1897;10.1559;2.5906;0.149;0.3541;0.3138;0.0061;58.579;38.529;2.613;0.279;0;0
I535201001;115;2.3;27.63;13.6;17.223;12.12;12.016;12.237;10.03;6.968;10.508;18.897;0.4842;0.1016;0.2504;9.8424;2.2548;0.1967;0.3597;0.3187;0.0059;43.076;51.099;5.015;0.81;0;0
I696401001;94;2.69;3.46;10.3;15.418;4.479;3.876;7.924;15.245;18.605;14.643;19.811;0;0.3182;0.3573;3.1423;1.8876;0.2807;0.6366;0.5641;0.02;29.371;62.705;7.494;0.431;0;0
I722202001;107;2.77;19.98;12.8;13.61;8.844;10.176;12.541;15.557;10.664;11.627;16.981;0.51562;0.0919;0.2493;10.8867;2.2599;0.1958;0.342;0.3031;0.0065;29.861;60.438;8.327;1.36;0.014;0
I903101001;176;3.02;12.27;13.1;12.57;10.842;9.941;13.173;14.74;13.418;11.689;13.628;0.54108;0.4254;0.3388;2.3508;1.9385;0.2661;0.736;0.6522;0.012;27.041;60.555;9.98;2.385;0.039;0
J001401001;157;2.06;6.86;12.4;10.391;11.904;12.907;11.286;12.954;15.069;13.494;11.996;0.86306;0.3502;0.3774;2.8556;1.8367;0.2964;0.6677;0.5918;0.0093;46.225;51.227;2.439;0.108;0;0
J014401001;128;1.93;12.88;12.7;10.216;9.324;11.499;11.707;11.438;16.217;17.158;12.44;0.7897;0.1772;0.3196;5.6437;1.9958;0.2511;0.475;0.4209;0.0062;55.371;40.511;3.617;0.501;0;0
J032301001;73;1.54;7.99;12.7;17.324;14.485;12.753;8.181;7.251;8.341;14.469;17.196;0.6069;0.1937;0.3227;5.1627;1.9865;0.2534;0.4966;0.4401;0.0057;70.051;27.077;2.166;0.706;0;0
J061161001;149;2.2;18.49;13;14.255;18.21;13.852;15.457;16.827;10.05;4.413;6.936;0.51859;0.113;0.2662;8.853;2.1871;0.209;0.3792;0.3361;0.007;38.365;59.438;2.12;0.076;0;0
J100452001;78;1.42;7.21;12.1;14.154;14.489;17.442;16.495;9.557;5.991;8.721;13.151;0.82425;0.2215;0.3894;4.5153;1.8082;0.3059;0.531;0.4706;0.0072;71.636;27.724;0.641;0;0;0
J110301001;123;2.89;13.92;12.5;17.369;15.706;13.221;17.901;11.286;5.464;6.876;12.176;0.48336;0.205;0.3844;4.8786;1.8199;0.3019;0.5109;0.4527;0.0119;29.352;58.607;10.687;1.354;0;0
J111401001;97;1.92;8.76;13.1;15.255;12.151;11.033;11.787;12.665;11.645;11.698;13.765;0.3677;0.2905;0.2169;3.442;2.4229;0.1703;0.6082;0.539;0.0073;53.614;43.193;2.847;0.346;0;0
J131301001;99;1.7;15.27;13.9;15.451;13.36;11.835;12.372;10.432;8.017;11.158;17.375;0.42705;0.2566;0.311;3.8977;2.0232;0.2443;0.5715;0.5065;0.0098;60.42;37.727;1.788;0.066;0;0
J132401001;129;2.69;15.27;12.9;17.65;16.771;15.806;13.933;6.116;4.87;9.697;15.157;0.57016;0.2392;0.3224;4.1807;1.9873;0.2532;0.5519;0.4891;0.0126;40.379;47.72;9.192;2.709;0;0
J151301001;213;2.93;13.81;12.7;16.726;14.94;13.821;14.177;10.323;7.981;9.197;12.835;0.57826;0.2214;0.3495;4.5175;1.9087;0.2745;0.5309;0.4705;0.0091;26.375;62.606;10.108;0.912;0;0
J152401001;174;2.53;5.22;11.3;14.369;11.843;17.952;18.396;14.198;6.962;6.587;9.693;0.2891;0.2965;0.4521;3.3721;1.6781;0.3551;0.6145;0.5446;0.0155;32.15;61.263;6.451;0.137;0;0
J171171001;218;3.36;10.91;13;15.479;13.541;13.192;13.159;10.562;10.045;10.127;13.894;0.41253;0.49;0.4087;2.0407;1.7651;0.321;0.7899;0.7;0.0112;24.005;58.148;14.711;3.065;0.071;0
J172172001;179;2.91;32.3;13.9;14.368;15.397;14.813;11.769;9.873;9.678;10.877;13.225;0.48189;0.1585;0.2608;6.3085;2.2097;0.2048;0.4493;0.3981;0.0058;33.254;53.766;10.365;2.581;0.034;0
J181301001;115;1.77;23.7;14.3;16.358;17.303;14.022;9.256;8.662;9.648;11.419;13.331;0.48112;0.14;0.2335;7.1437;2.3352;0.1834;0.4222;0.3741;0.0055;62.361;33.702;3.334;0.603;0;0
J202301001;120;2.12;14.14;13.3;16.458;17.31;16.325;9.866;6.586;6.38;11.407;15.667;0.49101;0.2028;0.3683;4.9317;1.8594;0.2892;0.5081;0.4503;0.0098;52.341;41.091;5.546;1.021;0;0
J203401001;82;1.8;17.55;13.1;14.717;13.612;12.637;13.391;13.063;7.772;9.746;15.061;0.70685;0.0869;0.2183;11.5111;2.4151;0.1715;0.3326;0.2947;0.0076;58.075;38.681;2.957;0.287;0;0
J221311001;230;3.07;2.81;9.8;15.437;13.115;13.661;13.115;13.661;6.967;7.514;16.53;0.48016;0.3258;0.5648;3.0693;1.5014;0.4436;0.6441;0.5708;0.0167;27.596;57.923;11.339;3.142;0;0
J223301001;214;3.26;13.99;13.3;16.076;12.822;11.93;12.543;10.729;9.825;10.747;15.328;0.52084;0.324;0.2344;3.0868;2.3307;0.1841;0.6423;0.5692;0.0081;24.065;59.652;13.601;2.679;0.004;0
J231491001;146;2.96;8.31;12;14.865;15.454;15.211;10.187;6.739;7.623;12.11;17.81;0.64604;0.1898;0.2745;5.2695;2.1536;0.2156;0.4916;0.4356;0.0132;31.757;53.777;12.405;2.062;0;0
J240401001;192;3.6;7.65;10.9;14.831;14.831;14.291;7.589;5.855;10.208;16.371;16.025;0.7268;0.1429;0.3636;6.9996;1.8714;0.2855;0.4265;0.378;0.0146;19.068;61.094;15.871;3.968;0;0
J251401001;104;2.16;6.4;11.9;20.401;12.477;6.876;8.288;9.335;9.381;11.293;21.949;0.68207;0.3287;0.4392;3.0427;1.7026;0.3449;0.6469;0.5733;0.0131;46.403;48.361;5.191;0.046;0;0
J260301001;161;3.53;8.83;11.4;19.054;16.965;12.833;3.972;6.382;11.961;14.348;14.486;0.69586;0.1846;0.3102;5.4162;2.026;0.2436;0.4849;0.4297;0.018;21.786;58.425;15.335;4.454;0;0
J260541001;136;2.81;8.27;11.6;18.344;14.083;6.524;5.055;11.146;15.648;13.987;15.214;0.40078;0.1442;0.2555;6.9326;2.2322;0.2007;0.4286;0.3798;0.0156;36.567;50.843;9.124;3.467;0;0
J261401002;166;3.78;10.99;12.2;19.314;16.363;12;8.527;6.424;9.102;13.036;15.233;0.55887;0.2317;0.3687;4.3157;1.8582;0.2896;0.5432;0.4814;0.017;21.887;54.29;17.755;5.932;0.136;0
J272301001;148;3.49;15.31;12.7;14.432;12.788;12.277;9.332;6.751;7.933;16.362;20.126;0.70511;0.1594;0.3665;6.2749;1.8639;0.2878;0.4505;0.3992;0.0122;26.009;53.487;15.474;5.016;0.014;0
J301433001;93;1.79;6.26;11.9;16.112;16.06;14.813;11.746;3.067;4.028;16.398;17.775;0.54133;0.2782;0.4969;3.594;1.6007;0.3903;0.5952;0.5275;0.0082;56.263;42.1;1.637;0;0;0
J302401001;85;1.83;7.5;12.1;17.14;12.536;12.268;10.86;10.101;6.078;9.966;21.05;0.62335;0.2878;0.4059;3.4749;1.7711;0.3188;0.6053;0.5365;0.0075;57.475;39.709;2.726;0.089;0;0
J320571001;77;1.43;5.06;11.8;16.489;18.74;11.702;6.219;5.442;9.861;15.998;15.548;0.41801;0.2242;0.2888;4.4596;2.0999;0.2268;0.5343;0.4735;0.0086;70.663;29.01;0.327;0;0;0
J321302002;80;1.5;5.82;11.7;16.507;19.202;13.737;6.462;6.056;11.041;13.109;13.885;0.76855;0.211;0.3578;4.7404;1.8865;0.281;0.5183;0.4593;0.0079;65.879;34.01;0.111;0;0;0
J332302002;70;2.22;9.39;12.7;13.853;12.374;12.71;11.965;11.399;14.094;12.259;11.346;0.55339;0.3949;0.3893;2.5324;1.8084;0.3058;0.7091;0.6284;0.0077;44.495;50.031;5.306;0.168;0;0
J340302001;267;5.39;3.34;9.3;6.829;5.671;2.546;6.829;22.222;12.5;12.847;30.556;0.59799;0.1954;0.3911;5.1183;1.8042;0.3072;0.4988;0.442;0.0319;4.514;47.106;37.269;10.88;0.231;0
J340411001;231;4.02;3.01;9.7;18.506;3.563;2.989;4.598;10.345;14.483;11.839;33.678;0.35208;0.2586;0.4932;3.8667;1.6067;0.3874;0.5738;0.5085;0.0334;17.931;57.011;15.747;9.31;0;0
J351401001;115;3.19;8.11;11.9;11.251;9.712;9.323;16.39;16.555;13.656;10.982;12.132;0.56389;0.3157;0.3489;3.1674;1.9103;0.274;0.634;0.5619;0.0168;23.398;62.573;12.237;1.793;0;0
J360181001;199;3.44;12.48;12.4;10.095;7.829;9.508;14.193;16.502;15.761;14.253;11.859;0.5213;0.2674;0.4134;3.7392;1.7549;0.3247;0.5835;0.5171;0.0103;17.814;65.624;14.023;2.505;0.034;0
J383401001;162;4.83;13.31;12.3;11.117;9.23;9.771;13.959;16.544;14.664;12.592;12.122;0.5775;0.3012;0.3154;3.3198;2.0093;0.2477;0.6193;0.5488;0.0163;12.122;50.901;25.012;11.431;0.534;0
J401401001;79;3;11.25;12.4;19.91;11.213;5.281;7.989;20.438;13.652;9.169;12.348;0.67218;0.1473;0.216;6.7885;2.428;0.1696;0.4331;0.3838;0.0069;31.865;54.067;11.213;2.854;0;0
J412442001;84;2.79;8.15;11.4;7.913;9.206;11.7;12.377;16.01;20.105;14.039;8.651;0.71855;0.1643;0.2946;6.0863;2.0789;0.2314;0.4574;0.4053;0.0098;29.803;59.575;10.129;0.493;0;0
J412572001;64;2.19;4.63;10.7;8.788;11.439;21.742;20.606;11.288;13.333;8.712;4.091;0.5944;0.1884;0.3173;5.3073;2.0032;0.2492;0.4898;0.4341;0.0116;40.682;56.742;2.576;0;0;0
J421191001;145;3.49;21.97;13;12.321;7.476;8.234;14.582;18.985;13.316;11.612;13.474;0.55386;0.1451;0.3015;6.8921;2.0549;0.2368;0.4298;0.3809;0.0077;20.29;61.356;15.178;3.098;0.079;0
J421451001;167;2.73;2.3;10;5.595;7.03;6.313;14.778;32.999;14.06;10.904;8.321;0;0.36;0.4956;2.7776;1.6028;0.3893;0.677;0.6;0.0264;28.264;64.419;7.03;0.287;0;0
J422401001;118;3.4;11.91;12.4;14.075;9.365;6.852;12.137;18.776;15.225;11.34;12.23;0.7577;0.199;0.3688;5.0251;1.858;0.2897;0.5034;0.4461;0.009;25.869;56.477;12.805;4.738;0.111;0
J431301001;117;3.28;14.71;13;12.605;10.104;10.649;13.05;17.84;13.544;10.738;11.471;0.52841;0.2942;0.3735;3.3989;1.8465;0.2933;0.612;0.5424;0.0107;29.561;52.209;14.028;4.102;0.1;0
J451401001;91;2.11;7.55;11.2;8.87;10.11;11.302;11.159;18.121;17.406;12.685;10.348;1.04714;0.089;0.2275;11.2362;2.3655;0.1787;0.3366;0.2983;0.0087;50.691;44.254;4.196;0.858;0;0
J451542001;91;2.43;5.11;11.2;10.221;6.193;8.489;10.871;21.438;22.347;11.477;8.965;0.34459;0.2464;0.3747;4.0581;1.8434;0.2943;0.5601;0.4964;0.0138;40.277;52.187;5.933;1.602;0;0
J461401001;127;2.89;12;12.2;10.552;9.9;8.195;12.784;23.697;16.431;10.691;7.751;0.83871;0.16;0.2424;6.2495;2.292;0.1904;0.4514;0.4;0.0088;30.699;56.725;10.538;2.024;0.014;0
J471201002;199;2.37;17.46;13.3;9.691;9.376;12.997;14.961;13.873;13.278;14.352;11.471;0.5465;0.1684;0.2965;5.94;2.0724;0.2328;0.463;0.4103;0.0075;48.169;42.051;8.48;1.259;0.041;0
J473401001;161;3.81;13.85;12.3;11.629;10.824;11.901;16.227;18.933;8.466;9.56;12.461;0.73179;0.2088;0.4055;4.7887;1.7719;0.3185;0.5156;0.457;0.01;16.006;61.125;18.153;4.682;0.034;0
J474201001;164;3.27;33.19;14.2;10.106;10.315;12.674;14.699;15.79;13.136;12.214;11.065;0.57518;0.2175;0.2685;4.5983;2.1775;0.2109;0.5262;0.4663;0.0058;28.733;53.498;13.919;3.77;0.08;0
J480301001;178;2.16;11.49;12.8;9.188;12.714;15.462;13.61;14.063;12.222;11.897;10.843;0.5749;0.1971;0.3278;5.0747;1.9708;0.2575;0.5009;0.4439;0.0076;46.002;49.458;3.683;0.857;0;0
